deso,year,Quartile 1,Quartile 2,Quartile 3,Quartile 4,Median value,Mean value,total
0114A0010,2022,15,17,29,40,351.5,609.0,843
0114C1010,2022,11,16,30,43,372.3,441.8,1542
0114C1020,2022,9,20,34,37,359.9,382.8,1591
0114C1030,2022,10,27,28,35,334.6,371.6,2284
0114C1040,2022,28,34,24,14,265.6,284.5,2243
0114C1050,2022,4,13,30,52,405.6,455.9,2060
0114C1060,2022,24,30,26,19,276.1,310.9,3044
0114C1070,2022,12,20,31,37,354.8,395.4,1623
0114C1080,2022,39,32,22,8,240.9,253.8,2388
0114C1090,2022,42,29,18,11,237.4,269.4,2842
0114C1100,2022,18,21,32,29,323.1,348.8,1746
0114C1110,2022,19,23,32,26,312.4,341.4,2146
0114C1120,2022,22,23,29,26,308.3,344.4,2146
0114C1130,2022,27,30,27,16,270.2,289.6,1974
0114C1140,2022,10,22,35,33,340.2,393.7,3207
0114C1150,2022,21,26,27,26,300.2,338.4,2499
0114C1160,2022,22,23,29,27,314.0,336.0,1943
0114C1170,2022,27,25,27,20,283.0,308.6,1638
0114C1180,2022,20,29,26,24,292.4,334.1,1037
0114C1190,2022,21,24,30,24,303.7,330.6,1974
0114C1200,2022,38,33,20,9,238.9,257.8,2610
0114C1210,2022,42,30,17,11,232.7,260.2,2449
0114C1220,2022,22,22,27,29,310.9,369.8,1623
0115A0010,2022,12,19,28,41,364.5,435.5,2080
0115A0020,2022,12,21,33,34,329.5,437.4,1202
0115A0030,2022,11,19,30,40,354.0,410.1,1239
0115A0040,2022,14,26,28,31,322.4,383.1,1467
0115B2010,2022,10,19,34,38,351.0,376.9,1419
0115B3010,2022,16,22,33,29,325.0,361.0,1151
0115C1010,2022,5,14,27,54,411.0,477.9,2595
0115C1020,2022,8,16,34,41,372.8,405.3,2330
0115C1030,2022,14,24,32,30,329.4,353.0,1275
0115C1040,2022,6,17,29,48,384.2,445.2,2094
0115C1050,2022,6,15,33,45,382.5,451.1,2700
0115C1060,2022,28,27,25,19,271.8,347.6,2114
0115C1070,2022,26,32,25,17,268.4,302.8,2307
0115C1080,2022,10,19,31,40,355.4,393.6,1460
0115C1090,2022,30,33,23,14,262.4,289.9,1326
0115C1100,2022,8,22,31,38,350.8,409.3,2485
0115C1110,2022,17,31,27,25,298.3,348.2,1961
0115C1120,2022,8,23,35,33,337.9,396.7,1765
0115C1130,2022,6,13,29,51,397.3,432.8,1229
0117A0010,2022,6,15,30,49,390.4,1474.1,689
0117A0020,2022,20,22,24,34,317.0,414.4,2031
0117A0030,2022,14,18,28,39,350.4,427.9,2323
0117C1010,2022,6,10,26,59,423.4,593.9,1646
0117C1020,2022,5,13,28,53,401.8,487.0,1599
0117C1030,2022,6,14,32,48,385.5,504.0,2629
0117C1040,2022,5,8,19,68,480.2,618.4,2594
0117C1050,2022,8,17,30,44,378.2,425.8,2650
0117C1060,2022,9,16,28,47,385.9,445.3,2663
0117C1070,2022,9,15,29,47,382.1,439.6,2295
0117C1080,2022,7,14,32,47,384.3,449.6,2902
0117C1090,2022,14,25,36,26,322.2,345.8,2539
0117C1100,2022,17,30,30,23,300.5,337.7,2711
0117C1110,2022,38,31,19,11,243.1,275.1,2446
0117C1120,2022,20,26,30,24,303.9,339.0,1751
0117C1130,2022,24,28,26,22,284.8,322.1,2054
0117C1140,2022,28,28,26,17,273.6,310.0,2286
0117C1150,2022,15,22,28,35,332.1,375.2,816
0117C1160,2022,9,20,31,39,358.8,385.6,2194
0117C1170,2022,11,24,34,32,337.8,385.4,1877
0117C1180,2022,8,20,26,46,386.3,421.1,1397
0117C1190,2022,11,27,32,30,328.9,356.3,1682
0117C1200,2022,11,23,33,33,338.7,375.5,2187
0120A0010,2022,19,22,26,33,325.6,456.6,2168
0120C1010,2022,12,22,29,37,351.1,402.6,1827
0120C1020,2022,12,23,27,39,345.3,400.6,1694
0120C1030,2022,5,15,30,50,394.4,464.1,1870
0120C1040,2022,9,17,28,47,385.0,513.7,2311
0120C1050,2022,22,22,26,30,311.0,350.7,1644
0120C1060,2022,9,15,27,49,389.8,490.6,2220
0120C1070,2022,6,12,25,57,418.4,548.9,800
0120C1080,2022,13,23,33,31,330.5,382.5,1765
0120C1090,2022,5,10,28,58,418.9,509.9,2027
0120C1100,2022,7,10,28,55,417.0,577.1,2872
0120C1110,2022,13,21,30,35,342.8,530.4,3290
0120C1120,2022,10,30,35,25,316.8,354.5,1938
0120C1130,2022,21,24,30,25,305.5,351.9,1841
0120C1140,2022,19,27,29,25,300.7,391.7,2383
0120C1150,2022,14,22,28,36,340.5,400.1,1588
0120C1160,2022,5,13,28,53,402.4,582.7,1694
0120C1170,2022,9,21,38,32,348.0,402.3,1494
0120C1180,2022,32,29,25,15,259.5,280.2,1884
0120C1190,2022,20,29,31,20,296.4,327.7,2087
0120C1200,2022,8,24,30,38,349.0,409.4,1521
0120C1210,2022,18,26,27,30,310.5,424.2,1992
0120C1220,2022,6,13,22,59,432.7,600.0,1311
0120C1230,2022,10,16,31,44,366.3,519.3,1393
0123C1010,2022,10,25,31,33,334.2,382.3,2318
0123C1020,2022,11,25,34,31,320.9,369.5,1874
0123C1030,2022,9,12,30,49,391.9,448.3,1676
0123C1040,2022,9,23,29,39,354.1,395.3,1625
0123C1050,2022,10,23,31,36,353.6,381.1,1956
0123C1060,2022,9,16,29,47,387.1,469.2,2144
0123C1070,2022,11,22,35,33,336.1,370.7,2049
0123C1080,2022,18,25,28,28,309.0,347.2,1602
0123C1090,2022,22,24,28,26,302.1,339.5,2720
0123C1100,2022,15,28,32,25,313.4,340.0,2154
0123C1110,2022,7,24,31,38,358.0,395.9,2085
0123C1120,2022,10,22,35,33,343.4,376.5,1819
0123C1130,2022,51,29,14,6,210.4,226.0,1441
0123C1140,2022,22,28,29,22,294.0,317.4,5734
0123C1150,2022,27,33,24,16,267.4,290.7,2151
0123C1160,2022,42,30,20,9,229.5,247.3,1878
0123C1170,2022,63,21,11,5,190.7,243.9,1056
0123C1180,2022,9,27,30,34,331.9,371.6,1911
0123C1190,2022,43,26,23,8,231.5,250.2,1959
0123C1200,2022,27,20,32,21,298.5,312.2,1307
0123C1210,2022,47,30,14,9,220.9,244.9,1752
0123C1220,2022,22,31,27,20,283.4,312.7,3369
0123C1230,2022,38,28,25,9,245.2,266.9,2336
0123C1240,2022,22,32,29,18,284.2,303.1,1706
0123C1250,2022,33,30,23,14,257.1,279.7,1512
0123C1260,2022,41,31,20,9,236.8,251.2,2876
0123C1270,2022,8,13,28,51,397.3,474.0,2107
0123C1280,2022,35,25,24,16,257.2,280.9,1016
0123C1290,2022,36,26,23,14,251.3,276.4,2272
0123C1300,2022,13,19,28,39,350.4,387.6,1944
0123C1310,2022,9,16,29,46,381.1,438.9,1479
0123C1320,2022,10,18,35,37,351.2,438.9,2622
0123C1330,2022,6,16,26,51,401.4,448.5,1886
0123C1340,2022,18,28,32,22,302.6,321.5,2220
0123C1350,2022,26,32,26,16,270.0,299.0,2235
0123C1360,2022,22,26,29,24,296.3,329.4,2256
0123C1370,2022,46,25,21,8,225.6,246.9,1833
0123C1380,2022,11,24,36,30,330.2,370.1,972
0123C1390,2022,22,22,30,26,306.4,372.9,2081
0123C1400,2022,9,16,31,44,377.8,443.9,2585
0125A0010,2022,13,15,23,49,391.5,647.2,976
0125A0020,2022,22,21,26,31,317.3,535.7,1649
0125A0030,2022,18,24,23,35,326.4,450.0,781
0125A0040,2022,15,18,27,40,352.7,431.6,2015
0125B2010,2022,11,18,27,45,370.3,463.4,1512
0125B2020,2022,14,21,31,33,339.1,398.3,2447
0125B2030,2022,5,25,38,32,344.0,383.3,1198
0125B3010,2022,18,23,29,29,321.9,386.9,814
0125B3020,2022,13,26,31,30,323.7,370.1,1345
0125C1010,2022,5,7,24,64,452.7,586.9,1603
0125C1020,2022,4,9,30,57,419.0,481.2,1394
0125C1030,2022,7,22,33,38,344.3,387.6,2170
0125C1040,2022,14,19,26,41,361.4,452.4,2752
0125C1050,2022,10,14,31,46,382.8,498.6,1538
0125C1060,2022,15,21,29,34,335.8,414.1,1764
0125C1070,2022,9,16,24,51,404.0,515.8,2034
0125C1080,2022,11,16,25,48,379.9,487.1,2547
0126A0010,2022,13,19,34,34,339.6,436.2,1575
0126C1010,2022,11,17,30,42,364.8,435.5,2631
0126C1020,2022,35,29,24,12,252.5,270.7,2785
0126C1030,2022,53,24,17,6,207.3,224.1,1869
0126C1040,2022,14,25,31,30,324.9,357.3,1728
0126C1050,2022,13,19,32,36,349.1,393.5,1653
0126C1060,2022,42,32,18,8,231.9,247.6,1732
0126C1070,2022,30,33,24,12,256.4,284.1,1291
0126C1080,2022,60,22,13,5,191.4,206.5,2656
0126C1090,2022,37,33,24,6,237.8,250.0,1622
0126C1100,2022,21,29,30,19,289.9,312.3,1431
0126C1110,2022,42,30,21,7,235.7,244.3,2063
0126C1120,2022,9,20,38,33,352.2,380.6,1905
0126C1130,2022,50,28,16,6,213.3,231.2,2027
0126C1140,2022,55,26,16,4,202.1,220.5,1756
0126C1150,2022,5,28,35,32,339.7,387.5,1227
0126C1160,2022,37,30,22,11,241.7,268.2,1817
0126C1170,2022,14,22,31,33,328.0,366.1,1913
0126C1180,2022,15,29,33,23,307.7,342.1,1352
0126C1190,2022,11,19,31,39,355.5,399.5,3081
0126C1200,2022,7,16,34,44,372.0,421.5,2104
0126C1210,2022,11,19,37,33,349.5,390.2,1788
0126C1220,2022,35,29,22,14,254.1,283.1,1882
0126C1230,2022,24,27,26,23,290.4,340.9,1973
0126C1240,2022,2,8,25,64,436.8,513.5,1687
0126C1250,2022,25,25,27,22,290.7,312.7,1743
0126C1260,2022,10,19,34,37,348.4,391.8,2529
0126C1270,2022,5,19,35,41,367.5,389.9,1723
0126C1280,2022,18,25,26,30,317.2,373.4,1895
0126C1290,2022,7,14,32,47,388.6,428.2,2209
0126C1300,2022,37,28,21,15,244.9,277.8,2097
0126C1310,2022,11,19,32,38,358.2,394.3,3104
0126C1320,2022,25,29,29,17,280.6,301.0,1656
0126C1330,2022,9,12,27,51,397.0,485.1,1719
0126C1340,2022,22,30,28,20,286.4,329.0,1327
0126C1350,2022,8,18,38,36,349.3,390.5,2675
0126C1360,2022,5,12,36,48,388.7,454.4,2450
0126C1370,2022,31,29,27,14,264.5,287.6,1094
0126C1380,2022,5,11,26,59,420.1,478.7,1000
0126C1390,2022,6,13,33,49,390.4,451.6,1979
0126C1400,2022,7,15,35,43,368.3,442.6,1538
0126C1410,2022,13,18,28,41,366.0,397.9,1835
0126C1420,2022,49,27,16,9,220.2,239.6,1545
0126C1430,2022,7,11,34,48,390.0,435.1,1394
0126C1440,2022,6,19,32,43,367.7,398.5,1238
0126C1450,2022,5,15,27,53,406.3,452.9,1030
0126C1460,2022,8,16,29,47,386.0,434.7,2603
0126C1470,2022,4,10,29,57,423.5,476.1,1616
0126C1480,2022,7,16,29,49,390.3,459.5,1934
0126C1490,2022,36,30,21,12,239.9,266.0,913
0126C1500,2022,8,24,38,30,338.0,374.4,1578
0126C1510,2022,48,27,17,8,221.1,246.7,2002
0126C1520,2022,67,20,11,2,180.7,194.7,1118
0126C1530,2022,16,15,29,41,360.0,422.5,2284
0126C1540,2022,55,25,17,3,199.8,219.5,953
0126C1550,2022,42,31,20,7,233.9,245.3,2353
0126C1560,2022,10,17,28,45,374.6,420.9,1772
0126C1570,2022,13,27,34,26,318.8,343.6,1499
0126C1580,2022,7,16,35,43,370.5,417.6,1710
0126C1590,2022,11,20,32,37,345.4,399.2,2020
0127A0010,2022,15,21,29,35,332.9,403.6,1999
0127A0020,2022,29,30,27,15,265.3,284.1,1648
0127C1010,2022,9,18,40,33,345.6,377.9,931
0127C1020,2022,21,29,30,20,291.2,309.5,1665
0127C1030,2022,17,32,28,24,298.9,332.0,2644
0127C1040,2022,13,23,35,29,329.1,358.7,1697
0127C1050,2022,16,29,33,22,304.3,321.2,3077
0127C1060,2022,9,14,32,44,373.3,458.9,1713
0127C1070,2022,12,26,31,31,322.4,419.9,1542
0127C1080,2022,39,28,23,9,243.5,255.7,2602
0127C1090,2022,50,29,15,6,213.9,226.7,2264
0127C1100,2022,30,28,24,18,267.1,304.8,1887
0127C1110,2022,47,30,17,6,218.7,231.1,1929
0127C1120,2022,7,15,31,47,383.1,484.3,1544
0127C1130,2022,9,18,34,39,361.5,389.6,1418
0127C1140,2022,13,33,29,24,300.9,361.8,1748
0127C1150,2022,15,25,25,35,332.0,386.3,2447
0127C1160,2022,46,30,17,7,219.9,244.2,1802
0127C1170,2022,15,32,30,22,298.3,327.9,2060
0127C1180,2022,24,29,29,18,284.5,308.3,3251
0127C1190,2022,15,32,34,19,297.1,319.4,1819
0127C1200,2022,10,28,33,29,329.6,346.7,2068
0127C1210,2022,21,32,28,19,284.9,313.6,1695
0127C1220,2022,27,25,29,19,287.4,323.0,1146
0127C1230,2022,7,29,36,28,327.9,356.7,1126
0127C1240,2022,7,17,23,53,406.1,441.2,1261
0127C1250,2022,8,17,31,43,373.7,438.2,1941
0127C1260,2022,9,22,34,35,342.6,375.6,1890
0127C1270,2022,41,31,21,7,231.7,248.2,2181
0127C1280,2022,29,33,25,13,258.3,292.0,1520
0127C1290,2022,50,30,17,4,214.5,224.4,2005
0127C1300,2022,53,22,17,7,208.0,232.4,1205
0127C1310,2022,57,27,14,3,204.2,213.4,1124
0127C1320,2022,46,28,18,8,219.8,239.4,1917
0127C1330,2022,36,30,27,8,250.4,259.8,1439
0127C1340,2022,50,30,14,6,214.1,227.8,2002
0127C1350,2022,43,31,19,7,234.0,240.7,2930
0127C1360,2022,48,31,16,5,215.9,227.3,1855
0127C1370,2022,42,32,18,8,231.1,245.2,1713
0127C1380,2022,57,28,11,4,201.0,227.5,1031
0127C1390,2022,56,31,9,3,200.6,211.2,1295
0127C1400,2022,44,33,17,6,225.1,242.6,1874
0127C1410,2022,53,28,16,3,208.3,219.7,1869
0127C1420,2022,56,25,15,4,197.6,213.5,1746
0127C1430,2022,31,35,23,11,249.4,266.1,1954
0127C1440,2022,50,30,16,4,212.5,227.5,2178
0127C1450,2022,22,34,30,13,273.6,299.3,1257
0127C1460,2022,20,36,31,13,279.8,306.5,1544
0127C1470,2022,57,21,15,7,204.8,221.9,1764
0127C1480,2022,22,36,26,17,275.5,287.3,1403
0128A0010,2022,8,16,32,43,374.1,416.1,2041
0128C1010,2022,5,13,30,52,400.5,456.5,2784
0128C1020,2022,11,26,33,29,328.4,360.6,1769
0128C1030,2022,30,32,24,14,261.3,277.7,2223
0128C1040,2022,19,31,31,19,291.9,319.2,1946
0128C1050,2022,25,36,25,14,265.9,310.9,1881
0128C1060,2022,14,33,29,23,304.7,333.4,1934
0128C1070,2022,19,28,31,21,303.5,322.1,2447
0136A0010,2022,17,28,27,27,307.4,366.8,746
0136A0020,2022,14,21,28,37,338.9,497.7,2178
0136A0030,2022,16,23,29,32,323.9,382.9,1205
0136B2010,2022,14,18,25,43,368.3,497.3,1899
0136C1010,2022,16,29,31,23,302.7,368.6,1440
0136C1020,2022,19,25,30,26,311.0,348.1,1594
0136C1030,2022,21,34,26,18,280.0,306.5,2252
0136C1040,2022,10,32,31,26,310.8,342.9,2889
0136C1050,2022,26,30,29,15,276.9,298.8,2197
0136C1060,2022,12,26,30,33,334.2,366.2,1663
0136C1070,2022,37,28,25,10,251.3,262.1,1963
0136C1080,2022,18,25,28,28,313.6,382.5,2387
0136C1090,2022,50,28,15,7,212.9,232.9,2048
0136C1100,2022,48,30,18,4,217.1,225.2,2432
0136C1110,2022,29,35,25,12,261.3,284.2,2332
0136C1120,2022,55,27,14,3,202.0,215.8,2173
0136C1130,2022,49,31,16,5,216.9,226.9,1846
0136C1140,2022,16,29,32,23,305.5,325.8,1210
0136C1150,2022,18,31,29,22,294.5,327.5,1357
0136C1160,2022,23,29,29,20,288.2,311.1,1976
0136C1170,2022,28,31,25,15,267.4,287.2,2608
0136C1180,2022,26,28,27,18,279.2,300.2,1873
0136C1190,2022,23,35,28,14,267.4,292.6,1313
0136C1200,2022,28,33,27,12,264.5,277.7,2026
0136C1210,2022,28,32,25,15,267.8,287.7,1306
0136C1220,2022,29,29,28,14,267.6,287.2,1403
0136C1230,2022,32,37,20,11,248.2,267.2,2088
0136C1240,2022,40,27,21,12,241.4,261.8,1574
0136C1250,2022,30,31,25,15,259.7,289.5,2198
0136C1260,2022,48,29,19,4,218.2,234.3,1776
0136C1270,2022,41,33,19,6,230.2,242.6,1541
0136C1280,2022,40,32,20,8,234.2,250.4,1161
0136C1290,2022,26,31,26,18,271.8,312.6,1522
0136C1300,2022,8,28,38,26,322.3,354.2,1692
0136C1310,2022,12,25,38,25,319.8,356.2,5203
0136C1320,2022,25,31,27,17,274.9,304.9,1996
0136C1330,2022,20,30,34,17,292.7,317.9,1570
0136C1340,2022,14,24,33,29,321.5,354.4,3713
0136C1350,2022,7,19,37,37,353.5,397.3,1359
0136C1360,2022,10,24,37,29,326.4,370.2,2085
0136C1370,2022,7,30,35,27,328.8,354.8,1915
0136C1380,2022,12,23,32,33,338.6,389.2,1829
0136C1390,2022,20,22,30,28,312.1,350.1,2100
0136C1400,2022,8,20,34,38,354.0,405.5,2340
0136C1410,2022,8,20,42,30,343.4,409.9,1011
0136C1420,2022,6,17,35,42,367.7,409.8,1550
0136C1430,2022,7,15,30,48,384.6,453.0,2061
0136C1440,2022,7,16,31,45,376.8,480.8,1831
0136C1450,2022,13,27,33,28,323.1,356.3,2071
0138A0010,2022,7,21,25,47,381.2,468.8,1381
0138C1010,2022,6,15,30,49,389.2,478.5,1768
0138C1020,2022,7,9,27,57,425.0,538.7,2074
0138C1030,2022,8,16,28,47,384.8,456.1,1688
0138C1040,2022,8,15,30,48,386.3,430.8,2468
0138C1050,2022,19,18,24,39,348.9,500.8,1794
0138C1060,2022,9,18,27,47,384.9,512.5,1909
0138C1070,2022,12,25,37,26,322.6,352.2,2002
0138C1080,2022,26,27,29,18,285.1,314.2,2254
0138C1090,2022,17,21,31,31,329.3,367.8,2230
0138C1100,2022,8,23,37,32,334.0,369.6,1591
0138C1110,2022,7,12,31,50,392.1,558.3,2151
0138C1120,2022,48,31,16,5,217.1,235.4,2272
0138C1130,2022,35,35,22,8,245.4,262.2,2025
0138C1140,2022,6,16,41,38,364.2,417.1,1699
0138C1150,2022,28,29,28,15,272.5,292.3,2512
0138C1160,2022,18,29,31,22,299.3,337.2,1854
0138C1170,2022,14,24,30,32,324.0,361.4,2949
0138C1180,2022,17,17,28,39,352.3,391.3,1231
0138C1190,2022,6,15,34,44,376.4,422.4,1194
0138C1200,2022,28,32,25,16,269.6,324.8,1761
0138C1210,2022,22,30,28,21,287.1,333.2,1921
0138C1220,2022,5,8,17,71,466.6,627.3,1269
0138C1230,2022,9,18,33,40,362.4,444.4,1790
0138C1240,2022,4,13,24,59,434.0,545.6,1594
0138C1250,2022,9,13,27,51,395.7,499.2,803
0139A0010,2022,22,23,24,31,310.6,379.0,3107
0139A0020,2022,13,22,30,35,347.4,407.2,1718
0139B2010,2022,12,19,36,33,344.4,369.1,1664
0139B2020,2022,47,30,17,6,220.8,237.5,2064
0139B2030,2022,55,25,15,4,199.7,217.8,912
0139B2040,2022,28,32,23,17,266.2,299.6,2158
0139B2050,2022,43,28,20,9,240.8,253.8,1565
0139B2060,2022,15,23,36,27,321.0,338.3,1135
0139C1010,2022,24,26,24,26,292.0,427.5,2828
0139C1020,2022,28,35,25,12,259.7,284.3,1764
0139C1030,2022,10,23,32,34,343.8,409.2,2458
0139C1040,2022,30,23,25,22,279.7,343.5,2149
0139C1050,2022,19,29,30,22,298.0,324.7,3260
0139C1060,2022,17,32,30,21,293.6,317.6,2022
0139C1070,2022,10,28,35,27,323.0,350.4,1918
0140A0010,2022,8,16,32,43,373.3,448.6,1272
0140A0020,2022,9,27,33,31,338.3,390.5,1772
0140C1010,2022,13,25,36,26,326.5,352.1,2749
0140C1020,2022,18,24,29,28,309.4,349.5,2568
0140C1030,2022,7,21,38,35,346.4,391.0,2021
0140C1040,2022,12,25,28,35,346.4,365.4,1153
0160C1010,2022,5,5,10,80,618.1,1201.0,1885
0160C1020,2022,5,8,14,73,510.6,661.1,1449
0160C1030,2022,6,10,17,68,465.1,556.8,1598
0160C1040,2022,3,5,14,79,554.0,841.5,1820
0160C1050,2022,15,14,21,51,400.0,490.0,2508
0160C1060,2022,19,18,24,39,348.3,461.6,1714
0160C1070,2022,4,6,15,75,545.8,803.8,1720
0160C1080,2022,20,24,27,30,310.3,360.1,1327
0160C1090,2022,21,17,27,35,336.3,371.5,2245
0160C1100,2022,14,28,29,29,317.4,358.4,1268
0160C1110,2022,1,7,21,71,478.0,558.4,1475
0160C1120,2022,5,10,27,58,422.7,502.7,1832
0160C1130,2022,4,7,23,66,459.0,542.1,1196
0160C1140,2022,16,20,26,37,341.6,421.1,3940
0160C1150,2022,23,19,24,34,325.0,432.1,2515
0160C1160,2022,12,19,24,46,375.9,463.5,2372
0160C1170,2022,5,7,25,62,442.1,508.3,2220
0160C1180,2022,3,8,26,63,445.7,504.9,1355
0160C1190,2022,17,23,31,29,316.3,371.2,1257
0160C1200,2022,19,27,27,27,312.2,350.6,1768
0160C1210,2022,3,7,21,69,458.0,541.2,2544
0160C1220,2022,24,29,27,20,283.4,317.4,2014
0160C1230,2022,15,24,28,33,324.7,369.4,1905
0160C1240,2022,4,9,15,72,490.0,682.6,1887
0160C1250,2022,4,9,24,63,439.3,524.2,1921
0160C1260,2022,13,9,18,60,441.3,534.6,1979
0160C1270,2022,3,8,22,66,452.9,535.0,1805
0160C1280,2022,4,12,27,56,417.8,483.6,1706
0160C1290,2022,28,28,25,19,274.5,311.9,1365
0160C1300,2022,6,12,30,53,404.2,461.0,2401
0160C1310,2022,4,9,22,65,452.6,568.5,1407
0160C1320,2022,7,13,29,50,394.8,465.4,1936
0160C1330,2022,5,12,27,56,415.7,463.9,1529
0160C1340,2022,10,15,25,49,390.2,444.4,3513
0160C1350,2022,6,13,20,61,438.1,530.8,1683
0160C1360,2022,11,16,27,46,379.8,459.2,2081
0160C1370,2022,5,8,20,66,448.9,523.3,2376
0160C1380,2022,4,9,32,55,411.8,474.1,1952
0162C1010,2022,8,6,16,69,538.5,2418.0,1765
0162C1020,2022,8,8,12,73,562.1,923.2,1633
0162C1030,2022,4,5,11,80,657.6,1726.9,1325
0162C1040,2022,21,18,26,35,330.6,409.7,1423
0162C1050,2022,8,8,10,74,615.5,1587.3,1597
0162C1060,2022,18,16,23,42,362.1,414.9,1024
0162C1070,2022,13,14,20,52,407.4,591.5,1541
0162C1080,2022,9,7,10,74,652.6,2677.5,1332
0162C1090,2022,15,15,25,45,371.9,475.0,1597
0162C1100,2022,14,9,9,68,547.0,2611.5,1528
0162C1110,2022,5,7,13,76,545.7,892.8,1800
0162C1120,2022,5,5,13,77,542.2,1214.0,1492
0162C1130,2022,3,3,9,85,618.4,949.7,1721
0162C1140,2022,12,13,21,54,411.9,500.5,2086
0162C1150,2022,9,9,8,74,680.4,2193.5,1364
0162C1160,2022,14,8,15,63,487.2,790.0,1575
0162C1170,2022,6,8,18,68,497.2,634.7,1540
0162C1180,2022,8,6,16,70,490.2,803.7,1795
0162C1190,2022,7,11,20,62,451.2,563.4,1736
0162C1200,2022,5,5,14,76,525.2,882.4,1773
0163C1010,2022,5,10,24,62,439.0,499.6,3061
0163C1020,2022,8,14,24,54,414.1,471.9,2094
0163C1030,2022,26,26,27,21,286.5,305.3,1649
0163C1040,2022,12,12,22,54,410.0,464.0,2007
0163C1050,2022,5,6,16,73,512.9,720.6,1904
0163C1060,2022,7,13,25,55,416.0,470.4,2000
0163C1070,2022,9,19,23,49,385.8,444.6,1998
0163C1080,2022,2,4,13,82,571.1,923.0,1358
0163C1090,2022,54,23,15,8,205.2,243.6,1075
0163C1100,2022,32,27,27,14,259.4,280.6,1763
0163C1110,2022,6,14,25,56,414.0,461.5,1862
0163C1120,2022,48,29,15,8,216.0,232.7,1636
0163C1130,2022,5,3,14,77,527.4,786.2,1370
0163C1140,2022,6,7,15,71,524.0,735.0,2451
0163C1150,2022,18,18,24,40,355.1,426.1,1922
0163C1160,2022,25,25,22,28,292.0,341.0,1803
0163C1170,2022,22,29,29,20,289.4,328.9,1664
0163C1180,2022,11,21,29,40,360.0,410.5,1813
0163C1190,2022,8,15,30,47,380.6,507.0,1586
0163C1200,2022,6,13,26,55,408.7,471.4,1824
0163C1210,2022,11,15,25,49,391.0,464.5,2114
0163C1220,2022,18,20,27,34,330.0,376.2,2189
0163C1230,2022,10,18,29,43,368.0,422.0,1366
0163C1240,2022,17,21,27,36,339.2,379.5,2131
0163C1250,2022,43,29,17,11,233.9,255.5,1810
0163C1260,2022,52,22,16,9,209.4,244.1,1877
0163C1270,2022,32,28,23,17,261.7,292.7,1946
0163C1280,2022,4,10,21,64,437.0,510.5,1731
0163C1290,2022,8,15,26,51,403.0,469.5,2455
0163C1300,2022,8,10,20,61,447.3,598.0,1917
0163C1310,2022,8,17,30,45,375.4,440.1,3337
0163C1320,2022,5,16,32,46,381.2,448.4,1586
0163C1330,2022,12,18,30,40,354.7,433.4,1588
0163C1340,2022,7,15,29,48,388.1,479.0,2050
0163C1350,2022,36,28,23,13,256.8,274.5,1502
0163C1360,2022,10,19,29,42,371.8,440.2,1579
0163C1370,2022,24,22,26,28,305.8,333.2,1555
0163C1380,2022,5,12,27,55,412.1,484.3,1841
0163C1390,2022,33,20,24,23,279.9,313.4,911
0163C1400,2022,32,24,25,19,272.2,298.2,1254
0180C1010,2022,38,27,20,14,244.2,288.2,1754
0180C1020,2022,37,29,19,15,244.8,277.0,1762
0180C1030,2022,14,22,35,30,336.0,374.6,1865
0180C1040,2022,27,27,26,21,282.2,311.7,2370
0180C1050,2022,19,20,28,33,325.9,370.3,2561
0180C1060,2022,27,29,24,20,276.5,317.1,1963
0180C1070,2022,41,23,23,13,240.1,261.3,1339
0180C1080,2022,23,30,28,19,280.4,340.7,1544
0180C1090,2022,27,31,24,17,271.2,296.0,1534
0180C1100,2022,28,30,26,16,270.5,334.0,2682
0180C1110,2022,10,21,40,29,341.0,363.1,2179
0180C1120,2022,44,33,17,6,227.2,238.1,1375
0180C1130,2022,32,26,23,18,266.6,300.0,1417
0180C1140,2022,39,30,22,9,246.4,256.5,1508
0180C1150,2022,25,30,24,21,277.9,326.0,1359
0180C1160,2022,36,32,22,10,245.6,262.0,1613
0180C1170,2022,16,22,30,33,329.7,379.1,2170
0180C1180,2022,37,26,21,16,255.2,282.9,1657
0180C1190,2022,22,24,32,22,303.9,323.6,1862
0180C1200,2022,43,29,19,10,234.7,248.1,1465
0180C1210,2022,28,22,26,25,293.0,321.1,1901
0180C1220,2022,28,28,26,18,275.6,298.1,2294
0180C1230,2022,54,24,16,6,203.1,225.6,1868
0180C1240,2022,17,18,27,38,352.0,383.3,3562
0180C1250,2022,30,27,26,18,278.4,295.2,2508
0180C1260,2022,35,25,26,13,255.3,274.1,1624
0180C1270,2022,13,17,32,39,356.6,402.9,1649
0180C1280,2022,33,29,24,13,255.1,271.8,1647
0180C1290,2022,30,25,29,16,275.0,296.0,1992
0180C1300,2022,47,26,18,9,220.1,244.7,1272
0180C1310,2022,24,32,29,15,279.8,302.5,1864
0180C1320,2022,34,24,25,17,260.6,282.1,2142
0180C1330,2022,45,28,18,9,222.9,250.4,1883
0180C1340,2022,41,27,22,9,236.5,255.0,1891
0180C1350,2022,20,29,29,22,294.5,323.2,2023
0180C1360,2022,31,33,25,10,247.8,267.7,1851
0180C1370,2022,31,28,24,17,270.3,289.3,1993
0180C1380,2022,30,28,24,18,268.8,292.7,1691
0180C1390,2022,24,22,27,26,302.4,333.2,1855
0180C1400,2022,22,19,28,31,321.9,344.1,1920
