deso,year,Quartile 1,Quartile 2,Quartile 3,Quartile 4,Median value,Mean value,total
2284C1070,2022,19,30,25,26,294.2,339.5,1283
2284C1080,2022,41,22,18,19,247.3,293.6,1586
2284C1090,2022,26,30,24,20,274.2,329.7,1114
2284C1100,2022,23,19,25,33,320.7,391.2,1999
2284C1110,2022,38,25,19,18,248.0,307.1,1722
2284C1120,2022,34,27,25,14,259.3,289.1,1240
2284C1130,2022,27,25,25,23,282.8,326.6,1826
2284C1140,2022,32,26,24,18,273.2,302.4,1152
2284C1150,2022,54,23,14,9,204.0,238.8,1616
2284C1160,2022,17,32,28,22,293.4,322.9,1998
2284C1170,2022,39,29,21,11,239.2,285.7,1209
2284C1180,2022,32,28,25,14,260.6,285.8,1492
2284C1190,2022,12,30,33,24,314.3,347.7,1446
2284C1200,2022,17,29,30,23,301.9,320.8,1516
2284C1210,2022,14,34,29,24,297.9,354.5,1193
2284C1220,2022,16,30,34,20,301.3,322.1,1346
2303A0010,2022,40,27,23,10,242.9,258.5,1088
2303A0020,2022,27,30,24,19,273.2,299.8,1325
2303A0030,2022,32,31,23,14,255.2,307.4,1511
2303C1010,2022,45,28,17,11,230.5,248.8,1151
2305A0010,2022,35,22,23,20,270.2,416.3,945
2305A0020,2022,35,30,21,15,247.2,287.6,1230
2305A0030,2022,37,25,24,15,254.1,283.4,1184
2305A0040,2022,27,36,17,20,264.0,299.7,1224
2305C1010,2022,46,25,17,12,222.2,248.6,1478
2309A0010,2022,15,23,36,26,324.9,345.3,1360
2309A0020,2022,13,35,27,24,298.9,351.2,1088
2309A0030,2022,29,30,19,22,267.3,316.8,1735
2309A0040,2022,26,31,23,20,268.5,320.0,2001
2309A0050,2022,36,27,20,17,251.4,291.9,1536
2309B2010,2022,11,30,39,21,314.0,359.3,1552
2309B2020,2022,14,26,33,26,315.6,346.9,1732
2309B3010,2022,28,35,21,15,261.4,295.4,1280
2309C1010,2022,20,26,31,23,305.5,324.6,1278
2309C1020,2022,39,26,23,11,240.0,271.9,1846
2313A0010,2022,31,29,23,16,256.3,286.7,1665
2313A0020,2022,37,32,19,12,240.5,273.3,2054
2313A0030,2022,30,30,23,17,262.9,298.1,1667
2313A0040,2022,30,25,23,22,276.4,337.5,762
2313B2010,2022,36,30,19,15,245.6,286.3,1135
2313C1010,2022,51,26,15,8,209.3,327.9,1885
2313C1020,2022,26,37,24,13,260.9,328.3,1057
2313C1030,2022,31,35,21,14,254.0,292.4,1019
