"","GEOID","povertyPr","noVehiclePr"
"1","60601",0.0564317561722233,0.453639289793376
"2","60602",0.113220338983051,0.551966292134832
"3","60603",0.141224489795918,0.366538952745849
"4","60604",0.125,0.205655526992288
"5","60605",0.0978632873924706,0.391096169519152
"6","60606",0.0453125,0.548620689655172
"7","60607",0.135310629375359,0.30055568978014
"8","60608",0.188151914123482,0.244013050570962
"9","60609",0.262897949930369,0.209622443628736
"10","60610",0.125224602626123,0.491326638106609
"11","60611",0.0731636015732965,0.462248118475358
"12","60612",0.252366473524181,0.336516598453843
"13","60613",0.091170565979461,0.354224176123777
"14","60614",0.0844245856190645,0.312976883513254
"15","60615",0.223451067134151,0.364224422442244
"16","60616",0.180408428620597,0.297662256566366
"17","60617",0.243850137562712,0.22272113436867
"18","60618",0.0872474416163737,0.136994584363005
"19","60619",0.249667233913498,0.301091988550023
"20","60620",0.248339725002338,0.256886461178307
"21","60621",0.323513464666546,0.417031715437182
"22","60622",0.0811334329514638,0.194291323718191
"23","60623",0.242278076059866,0.250471835075494
"24","60624",0.336742564923007,0.33639733135656
"25","60625",0.118868379457229,0.213044161559013
"26","60626",0.180643072939145,0.376668720476484
"27","60628",0.233077926857831,0.212698550473049
"28","60629",0.190040839056989,0.186639016442009
"29","60630",0.0781755425845275,0.0988484115248465
"30","60631",0.061834669470364,0.0852032520325203
"31","60632",0.149770707127894,0.146306609995603
"32","60633",0.117850098619329,0.090890522875817
"33","60634",0.0934018851756641,0.0753414651961142
"34","60636",0.303817174170247,0.277728639660357
"35","60637",0.313763568347677,0.416794495332428
"36","60638",0.0644157214455289,0.069423571047656
"37","60639",0.174971640097916,0.135417452296553
"38","60640",0.175147061118133,0.385198689494821
"39","60641",0.140521392918307,0.165163081193616
"40","60642",0.0893562310588668,0.278623034424139
"41","60643",0.155651691625069,0.11942308771536
"42","60644",0.255256099671223,0.388369453602119
"43","60645",0.200339986148712,0.165863972747563
"44","60646",0.0676995503091625,0.072590519503236
"45","60647",0.120046993484994,0.22340343380782
"46","60649",0.274690573075619,0.370727468343954
"47","60651",0.257520503224779,0.262564869792884
"48","60652",0.115236718998751,0.0800182898948331
"49","60653",0.303265516509505,0.375726040658277
"50","60654",0.0725308042134722,0.453795379537954
"51","60655",0.0464734437464306,0.0421811626858945
"52","60656",0.0683187758142054,0.0628470266355516
"53","60657",0.0781476929951961,0.413277393879566
"54","60659",0.162740123233055,0.1242077657172
"55","60660",0.174249905051272,0.388771575468234
"56","60661",0.0714855168748339,0.4070364663585
