StateAbbr,StateDesc,CountyName,StateFIPS,CountyFIPS,TotalPopulation,TotalPop18plus,FOODSTAMP_CrudePrev,FOODSTAMP_Crude95ci,FOODSTAMP_AdjPrev,FOODSTAMP_Adj95CI
NC,North Carolina,Washington,37,187,"10,713","8,617",25.3,"(21.1, 29.2)",28.3,"(23.6, 32.8)"
NC,North Carolina,Carteret,37,31,"69,615","58,070",7.8,"( 5.9, 10.1)",8.7,"( 6.5, 11.4)"
NC,North Carolina,Duplin,37,61,"49,520","37,683",18.2,"(15.1, 21.6)",19.3,"(16.2, 22.9)"
NC,North Carolina,Alamance,37,1,"179,165","139,859",13.3,"(10.8, 16.0)",14,"(11.3, 16.9)"
NC,North Carolina,Greene,37,79,"20,530","16,688",23.1,"(19.4, 27.0)",23.5,"(19.7, 27.4)"
NC,North Carolina,Perquimans,37,143,"13,377","10,937",12.7,"(10.5, 15.7)",14.2,"(11.4, 17.4)"
NC,North Carolina,Lincoln,37,109,"95,675","76,148",9.2,"( 6.9, 11.7)",9.7,"( 7.2, 12.3)"
NC,North Carolina,Cherokee,37,39,"29,959","25,195",11.2,"( 8.4, 14.1)",12.7,"( 9.6, 16.0)"
NC,North Carolina,Swain,37,173,"13,916","10,906",17.2,"(14.0, 20.7)",18.2,"(14.8, 21.9)"
NC,North Carolina,Pamlico,37,137,"12,423","10,683",11.2,"( 9.0, 14.0)",12.8,"(10.2, 15.9)"
NC,North Carolina,Gates,37,73,"10,343","8,363",15.6,"(12.9, 18.4)",16.6,"(13.7, 19.5)"
NC,North Carolina,Ashe,37,9,"27,063","22,627",11,"( 8.3, 14.1)",12.2,"( 9.0, 15.7)"
NC,North Carolina,Jones,37,103,"9,401","7,647",19.5,"(16.1, 23.3)",20.6,"(17.0, 24.5)"
NC,North Carolina,Stanly,37,167,"65,699","51,434",12.8,"(10.2, 15.6)",13.5,"(10.7, 16.6)"
NC,North Carolina,Columbus,37,47,"50,121","39,774",19.6,"(16.4, 22.9)",20.7,"(17.3, 24.4)"
NC,North Carolina,Bladen,37,17,"29,484","23,400",19,"(15.8, 22.4)",20.4,"(16.8, 24.2)"
NC,North Carolina,Hoke,37,93,"54,446","39,888",19.1,"(16.1, 22.3)",18.8,"(15.8, 22.0)"
NC,North Carolina,Davidson,37,57,"174,804","137,346",12.8,"(10.3, 15.5)",13.5,"(10.7, 16.5)"
NC,North Carolina,Richmond,37,153,"42,324","32,370",23.3,"(19.7, 27.2)",24.4,"(20.7, 28.7)"
NC,North Carolina,Mecklenburg,37,119,"1,163,701","901,633",10.8,"( 8.5, 13.4)",10.7,"( 8.4, 13.4)"
NC,North Carolina,Chatham,37,37,"81,624","66,141",8.4,"( 6.4, 10.8)",9.3,"( 7.1, 11.9)"
NC,North Carolina,Henderson,37,89,"119,230","97,324",8.8,"( 6.6, 11.4)",9.8,"( 7.2, 12.6)"
NC,North Carolina,Wake,37,183,"1,190,275","919,538",7.4,"( 5.7,  9.4)",7.4,"( 5.7,  9.4)"
NC,North Carolina,Montgomery,37,123,"26,085","20,705",15.8,"(12.9, 18.8)",17.1,"(13.9, 20.5)"
NC,North Carolina,Rockingham,37,157,"92,518","73,816",15.6,"(12.7, 18.5)",16.6,"(13.5, 19.8)"
NC,North Carolina,Person,37,145,"39,737","31,541",15.4,"(12.7, 18.5)",16.3,"(13.3, 19.6)"
NC,North Carolina,Johnston,37,101,"241,955","182,582",11.7,"( 9.4, 14.3)",11.8,"( 9.4, 14.5)"
NC,North Carolina,Hertford,37,91,"19,453","15,694",25.3,"(21.0, 30.0)",27.3,"(22.4, 32.0)"
NC,North Carolina,Scotland,37,165,"34,376","26,528",27.4,"(23.4, 31.5)",28.5,"(24.3, 32.7)"
NC,North Carolina,Guilford,37,81,"549,866","430,053",13.9,"(11.1, 17.2)",14.6,"(11.7, 18.1)"
NC,North Carolina,McDowell,37,111,"44,893","36,301",12.5,"( 9.6, 15.5)",13.4,"(10.3, 16.5)"
NC,North Carolina,Warren,37,185,"18,836","15,503",24.2,"(20.4, 28.6)",26.5,"(22.1, 31.1)"
NC,North Carolina,Transylvania,37,175,"33,549","28,383",7.9,"( 5.8, 10.1)",9.1,"( 6.8, 11.9)"
NC,North Carolina,Yancey,37,199,"18,938","15,582",11.4,"( 8.5, 14.5)",12.5,"( 9.2, 16.4)"
NC,North Carolina,Anson,37,7,"21,897","17,493",25.5,"(21.7, 29.8)",26.6,"(22.5, 30.9)"
NC,North Carolina,Camden,37,29,"11,137","8,653",7.9,"( 6.2,  9.7)",8,"( 6.3,  9.9)"
NC,North Carolina,Orange,37,135,"150,626","122,940",6.9,"( 5.1,  8.8)",7.5,"( 5.6,  9.6)"
NC,North Carolina,Gaston,37,71,"237,242","184,354",13.3,"(11.0, 15.9)",13.7,"(11.2, 16.4)"
NC,North Carolina,Craven,37,49,"102,391","80,675",12,"( 9.6, 14.5)",12.9,"(10.2, 15.6)"
NC,North Carolina,Graham,37,75,"8,052","6,517",10.1,"( 8.0, 12.7)",11.3,"( 8.8, 14.2)"
NC,North Carolina,Pitt,37,147,"175,119","137,875",15.8,"(12.8, 19.2)",16.9,"(13.8, 20.3)"
NC,North Carolina,Avery,37,11,"17,561","15,011",11.3,"( 8.8, 14.2)",12.3,"( 9.4, 15.4)"
NC,North Carolina,Alleghany,37,5,"11,342","9,426",14.3,"(11.0, 18.0)",16,"(12.4, 20.2)"
NC,North Carolina,Halifax,37,83,"47,298","37,177",27.8,"(23.8, 31.9)",29.4,"(25.1, 34.0)"
NC,North Carolina,Robeson,37,155,"117,365","86,828",29.8,"(26.1, 33.8)",30.9,"(27.0, 35.1)"
NC,North Carolina,Catawba,37,35,"164,645","129,398",11.1,"( 8.8, 13.6)",11.8,"( 9.3, 14.7)"
NC,North Carolina,Mitchell,37,121,"14,999","12,283",9.4,"( 7.1, 11.9)",10.3,"( 7.7, 13.1)"
