HEROP_ID,FIPS,FqhcAvTmDr,FqhcCtTmDr,FqhcTmDrP,TotTracts,A50_74HcvD,AmInHcvD,AsHcvD,AvA50_74HcvD,AvAmInHcvD,AvBlkHcvD,AvFlHcvD,AvHcvD,AvHspHcvD,AvMlHcvD,AvO75HcvD,AvU50HcvD,MdMarijLaw,AnyPdmpDt,AnyPdmpFr,AnyPdmphDt,AnyPdmphFr,ElcPdmpDt,ElcPdmpFr,MsAcPdmpDt,MsAcPdmpFr,OpPdmpDt,OpPdmpFr,CrrctExp,ExpnFedExp,ExpnSttExp,HlthExp,MedcdExp,PlcFyrExp,TradFedExp,TradSttExp,WlfrExp,BachelorsP,EduHsP,EduNoHsP,EngProf,GradSclP,SomeCollegeP,FemP,MaleP,Ovr16,Ovr16P,Ovr18,Ovr18P,Ovr21,Ovr21P,Ovr65,Ovr65P,SRatio,SRatio18,SRatio65,TotPop,AmIndE,AmIndP,AsianE,AsianP,BlackE,BlackP,HisE,HisP,OtherE,OtherP,PacIsE,PacIsP,TwoRaceE,TwoRaceP,WhiteE,WhiteP,DsmAs,DsmBlk,DsmHsp,IntrAsWht,IntrBlkWht,IntrHspWht,IsoAs,IsoBlk,IsoHsp
040US56,56,,,,160,10,,0.0,15.0,,0.0,,41.0,,32.0,,,False,7/1/2003,1.0,7/1/2003,1.0,7/1/2003,1.0,7/1/2019,1.0,7/1/2013,1.0,2509600,,,2086790,735514000,367586,431964700,303549300,1153073,18.8,27.78,5.94,98.07,11.12,20.24,48.83,51.17,462236.0,79.73,447402.0,77.17,392545.0,67.71,104321.0,17.99,104.78,103.95,94.77,579761,11927.0,2.06,4792.0,0.83,4982.0,0.86,60581.0,10.45,18121.0,3.13,499.0,0.09,41069.0,7.08,498371.0,85.96,0.39,0.44,0.21,0.69,0.76,0.83,0.01,0.01,0.11
040US36,36,,,,5394,394,,17.0,437.0,,154.0,168.0,552.0,126.0,384.0,79.0,14.0,True,1/1/1972,1.0,1/1/1990,1.0,1/1/1998,1.0,8/27/2013,1.0,6/1/2013,1.0,43422356,15055383800,2689050600,30606624,95269844500,15377414,43834093100,33691317000,94182819,22.03,24.56,12.14,86.71,17.52,13.14,51.18,48.82,16235440.0,81.7,15763042.0,79.32,13721365.0,69.05,3461186.0,17.42,95.4,92.78,78.23,19872319,102927.0,0.52,1769224.0,8.9,2927008.0,14.73,3898652.0,19.62,1949904.0,9.81,9671.0,0.05,1772641.0,8.92,11340944.0,57.07,0.51,0.53,0.39,0.73,0.64,0.7,0.07,0.16,0.14
040US18,18,,,,1693,183,,,201.0,0.0,40.0,71.0,239.0,2.0,168.0,4.0,5.0,False,12/31/1987,1.0,1/1/1990,1.0,1/1/1994,1.0,11/1/2014,1.0,7/1/2007,1.0,9819388,3947067200,453552600,7249514,17886329900,2835213,9522057000,3963653100,19841608,18.32,32.82,9.77,96.37,10.48,16.43,50.42,49.58,5403282.0,79.32,5215681.0,76.57,4511353.0,66.23,1116303.0,16.39,98.32,95.89,81.16,6811752,17208.0,0.25,172936.0,2.54,630680.0,9.26,569410.0,8.36,213942.0,3.14,2345.0,0.03,426963.0,6.27,5347678.0,78.51,0.55,0.5,0.38,0.85,0.81,0.82,0.03,0.06,0.09
040US20,20,,,,925,70,,,101.0,,13.0,29.0,116.0,1.0,87.0,,,False,7/1/2008,1.0,7/1/2008,1.0,7/1/2008,1.0,,0.0,4/1/2011,1.0,6990982,,,5724638,5207829500,1514301,3373617700,1834211800,6157970,22.01,25.61,8.1,95.32,13.15,18.7,49.83,50.17,2315234.0,78.81,2232748.0,76.01,1935518.0,65.89,486659.0,16.57,100.67,98.84,83.81,2937569,21898.0,0.75,86212.0,2.93,159829.0,5.44,389514.0,13.26,115004.0,3.91,2586.0,0.09,262988.0,8.95,2289052.0,77.92,0.3,0.28,0.17,0.72,0.75,0.8,0.01,0.03,0.13
040US16,16,,,,456,66,,0.0,69.0,,,26.0,90.0,,65.0,,,False,1/1/1967,1.0,1/1/1990,1.0,4/4/2000,1.0,,0.0,4/1/2008,1.0,2614507,775087100,86314200,1574255,3599369400,861764,2060471200,677496900,4313611,20.8,25.92,8.32,96.42,10.38,20.75,49.71,50.29,1484640.0,78.42,1430129.0,75.54,1237060.0,65.34,314391.0,16.61,101.15,99.48,90.94,1893296,21532.0,1.14,24979.0,1.32,14108.0,0.75,252466.0,13.33,92163.0,4.87,3098.0,0.16,159396.0,8.42,1578020.0,83.35,0.4,0.41,0.2,0.68,0.69,0.78,0.01,0.01,0.16
040US02,2,,,,,13,,,11.0,4.0,,12.0,40.0,,27.0,,,True,9/7/2008,1.0,9/1/2008,1.0,9/7/2008,1.0,6/7/2018,1.0,1/1/2012,1.0,2033162,619243700,38918200,1134424,2576330600,712161,1381949900,536218800,3130378,19.63,28.94,6.53,95.73,11.61,20.29,47.5,52.5,574021.0,78.21,555513.0,75.69,485945.0,66.21,97815.0,13.33,110.52,112.03,99.78,733971,101226.0,13.79,47099.0,6.42,22774.0,3.1,52473.0,7.15,16144.0,2.2,11379.0,1.55,89804.0,12.24,445545.0,60.7,0.16,0.2,0.13,0.45,0.47,0.46,0.09,0.02,0.06
040US32,32,,,,779,101,,,104.0,,15.0,36.0,129.0,18.0,93.0,6.0,,True,6/29/1995,1.0,1/1/1996,1.0,10/1/1995,1.0,10/1/2015,1.0,2/1/2011,1.0,4024586,1980420500,217824300,2141742,5246028500,2313396,2079082900,968700700,5512870,17.76,27.43,12.63,88.89,9.62,20.85,49.62,50.38,2528760.0,80.51,2448129.0,77.94,2140106.0,68.13,522417.0,16.63,101.54,100.32,89.99,3141000,41434.0,1.32,274032.0,8.72,295802.0,9.42,917057.0,29.2,370951.0,11.81,22581.0,0.72,465898.0,14.83,1670302.0,53.18,0.3,0.31,0.2,0.62,0.67,0.65,0.04,0.04,0.23
040US17,17,,,,3263,178,,,214.0,0.0,73.0,72.0,256.0,18.0,184.0,13.0,,True,1/1/1961,1.0,1/1/1990,1.0,4/1/2000,1.0,1/1/2018,1.0,12/1/2009,1.0,14483663,8708492500,1895262700,9487661,31034962500,9407957,11270177000,9161030300,34895505,22.31,25.26,9.74,91.19,14.88,16.67,50.6,49.4,10223628.0,80.55,9883774.0,77.87,8590151.0,67.68,2101833.0,16.56,97.64,95.41,80.19,12692653,66990.0,0.53,738308.0,5.82,1750414.0,13.79,2348118.0,18.5,920254.0,7.25,5514.0,0.04,1172661.0,9.24,8038512.0,63.33,0.48,0.48,0.35,0.83,0.77,0.81,0.03,0.12,0.09
040US50,50,,,,659,,,0.0,2.0,0.0,,,33.0,0.0,24.0,,,True,7/1/2006,1.0,6/1/2008,1.0,7/1/2006,1.0,11/15/2013,1.0,1/1/2009,1.0,863651,292646900,32495600,528775,2006682200,298620,1021937000,659602700,2368917,24.67,27.25,5.47,98.78,17.96,13.19,50.36,49.64,543008.0,84.15,528077.0,81.84,454606.0,70.45,134141.0,20.79,98.58,96.47,88.08,645254,1273.0,0.2,10700.0,1.66,7887.0,1.22,16058.0,2.49,4413.0,0.68,120.0,0.02,31026.0,4.81,589835.0,91.41,0.49,0.45,0.28,0.89,0.9,0.9,0.03,0.02,0.03
040US34,34,,,,2175,167,,,191.0,0.0,70.0,67.0,237.0,31.0,170.0,15.0,,True,1/4/2008,1.0,8/1/2009,1.0,8/1/2010,1.0,11/1/2015,1.0,1/1/2012,1.0,10089854,5594358300,621022700,5804512,23173786800,5621927,9350631600,7607774200,26149820,25.8,25.75,9.3,87.33,17.11,13.05,50.81,49.19,7477249.0,80.69,7235692.0,78.08,6275201.0,67.72,1559816.0,16.83,96.82,94.49,78.62,9267014,41900.0,0.45,918644.0,9.91,1201053.0,12.96,2032968.0,21.94,848026.0,9.15,2658.0,0.03,978591.0,10.56,5276142.0,56.93,0.43,0.55,0.43,0.58,0.43,0.47,0.15,0.24,0.31
